"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"2530","
    <div class=""consent"">
      <h2>Consent Form</h2>
      <p>If you agree to participate in this research, please click ""Continue"".</p>
    </div>
  ","0","html-button-response","0","2580","0.0-0.0","2j7bwre4ol","","","","","","","","","","","","","","",""
"4100410","
    <div class=""instructions"">
      <h2>Instructions</h2>
      <p>In this experiment, you will see a sentence on the screen.</p>
      <p>Your task is to record yourself reading that sentence aloud using your microphone.</p>
      <p>For each sentence, you'll click <strong>Start Recording</strong> when you're ready, rather than having the recording begin right away.</p>
      <p>After each recording, you can listen back and either continue to the next sentence or re-record.</p>
      <p>Click ""Next"" to continue to the microphone test.</p>
    </div>
  ","0","html-button-response","1","4102995","0.0-1.0","2j7bwre4ol","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","2","4117574","0.0-2.0","2j7bwre4ol","yes","","","","","","","","","","","","","",""
"1964","
    <div class=""content"">
      <h2>Microphone Setup</h2>
      <div class=""instruction-box"">
        <p>Before starting the experiment, we need to set up your microphone.</p>
        <p>On the next page:</p>
        <ul>
          <li>Your browser will ask for microphone permission - please click <strong>Allow</strong></li>
          <li>You'll see a dropdown menu with available microphones</li>
          <li>Select the microphone you want to use</li>
          <li>Click ""Use this microphone"" to continue</li>
        </ul>
      </div>
    </div>
  ","0","html-button-response","3","4119541","0.0-3.0","2j7bwre4ol","","","","","","","","","","","","","","",""
"","","","initialize-microphone","4","4126458","0.0-4.0","2j7bwre4ol","","90d3b9c1d861e8bf27414a79be1f9249d45f631b38b68cf7e0a919b245eb59bf","","","","","","","","","","","","",""
"2951","","","instructions","5","4129410","0.0-5.0","2j7bwre4ol","","","[{""page_index"":0,""viewing_time"":2950}]","","","","","","","","","","","",""
"2696","
        <div class=""content"">
          <div class=""recording-box"">
            <h3>Microphone Test</h3>
            <p>Take a moment to get ready.</p>
            <p>Click the button below when you want to begin the test recording.</p>
          </div>
        </div>
      ","0","html-button-response","6","4132108","0.0-6.0","2j7bwre4ol","","","","microphone_test_ready","","","","","","","","","","",""
"null","
          <div class=""content"">
          <div class=""recording-box"">
          <h3>Recording in Progress...</h3>
          <p>Speak naturally, for example: <em>""Testing, 1, 2, 3.""</em></p>
      </div>
    ","2j7bwre4ol_microphone_test_audio.webm","html-audio-response","7","4146006","0.0-7.0","2j7bwre4ol","","","","microphone_test","7","queued","","","","","","","","",""
"4013","
    <div class=""content"">
      <div class=""begin-box"">
        <h2>Let's Begin!</h2>
        <p>Now the microphone test is done and the main part begins.</p>
        <p>Each sentence will appear first, and you'll click <strong>Start Recording</strong> when you're ready to speak.</p>
        <p>After each sentence, you'll be able to listen to your recording and decide whether to keep it or record again.</p>
        <p>Click ""Continue"" to start recording the sentences.</p>
      </div>
    </div>
  ","0","html-button-response","8","4150023","0.0-8.0","2j7bwre4ol","","","","","","","","","","","","","","",""
"3732","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Delaware never ratified the 18th Amendment.</p>
          </div>
        ","0","html-button-response","9","4153757","0.0-9.0-0.0","2j7bwre4ol","","","","","","","30F","Delaware never ratified the 18th Amendment.","false","sentence_ready","","","","",""
"5560","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Delaware never ratified the 18th Amendment.</p>
          </div>
        ","null","html-audio-response","10","4159390","0.0-9.0-1.0","2j7bwre4ol","","","","","6","","30F","Delaware never ratified the 18th Amendment.","false","sentence_recording","blob:https://charburnham.github.io/985cdfa0-0df8-4e4b-9314-218bef7ce731","1","2j7bwre4ol_30F_audio.webm","",""
"12764","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Delaware never ratified the 18th Amendment.</p>
              <audio controls src=""blob:https://charburnham.github.io/985cdfa0-0df8-4e4b-9314-218bef7ce731"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","11","4172158","0.0-9.0-2.0","2j7bwre4ol","","","","","","not_uploaded_rerecorded","30F","Delaware never ratified the 18th Amendment.","false","sentence_review","","1","2j7bwre4ol_30F_audio.webm","rerecord","null"
"1572","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Delaware never ratified the 18th Amendment.</p>
          </div>
        ","0","html-button-response","12","4173732","0.0-9.1-0.1","2j7bwre4ol","","","","","","","30F","Delaware never ratified the 18th Amendment.","false","sentence_ready","","","","",""
"6085","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Delaware never ratified the 18th Amendment.</p>
          </div>
        ","null","html-audio-response","13","4179881","0.0-9.1-1.1","2j7bwre4ol","","","","","3","","30F","Delaware never ratified the 18th Amendment.","false","sentence_recording","blob:https://charburnham.github.io/9d858bbd-f9c5-4c2a-acda-4f123c52c836","2","2j7bwre4ol_30F_audio.webm","",""
"7691","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Delaware never ratified the 18th Amendment.</p>
              <audio controls src=""blob:https://charburnham.github.io/9d858bbd-f9c5-4c2a-acda-4f123c52c836"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","14","4187575","0.0-9.1-2.1","2j7bwre4ol","","","","","","queued","30F","Delaware never ratified the 18th Amendment.","false","sentence_review","","2","2j7bwre4ol_30F_audio.webm","accepted","2j7bwre4ol_30F_audio.webm"
"1710","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The blue whale is the second largest animal that has ever lived on earth.</p>
          </div>
        ","0","html-button-response","15","4189289","0.0-10.0-0.0","2j7bwre4ol","","","","","","","F16F","The blue whale is the second largest animal that has ever lived on earth.","false","sentence_ready","","","","",""
"6574","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">The blue whale is the second largest animal that has ever lived on earth.</p>
          </div>
        ","null","html-audio-response","16","4195934","0.0-10.0-1.0","2j7bwre4ol","","","","","8","","F16F","The blue whale is the second largest animal that has ever lived on earth.","false","sentence_recording","blob:https://charburnham.github.io/4b054e63-708d-43fa-8c51-feeba3ca5153","1","2j7bwre4ol_F16F_audio.webm","",""
"14385","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">The blue whale is the second largest animal that has ever lived on earth.</p>
              <audio controls src=""blob:https://charburnham.github.io/4b054e63-708d-43fa-8c51-feeba3ca5153"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","17","4210321","0.0-10.0-2.0","2j7bwre4ol","","","","","","queued","F16F","The blue whale is the second largest animal that has ever lived on earth.","false","sentence_review","","1","2j7bwre4ol_F16F_audio.webm","accepted","2j7bwre4ol_F16F_audio.webm"
"1229","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Four U.S. presidents have been awarded honorary knighthood.</p>
          </div>
        ","0","html-button-response","18","4211553","0.0-11.0-0.0","2j7bwre4ol","","","","","","","41F","Four U.S. presidents have been awarded honorary knighthood.","false","sentence_ready","","","","",""
"5935","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Four U.S. presidents have been awarded honorary knighthood.</p>
          </div>
        ","null","html-audio-response","19","4217558","0.0-11.0-1.0","2j7bwre4ol","","","","","13","","41F","Four U.S. presidents have been awarded honorary knighthood.","false","sentence_recording","blob:https://charburnham.github.io/92eef0a3-f7f0-4cb7-8643-f1a6d8f57a19","1","2j7bwre4ol_41F_audio.webm","",""
"20044","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Four U.S. presidents have been awarded honorary knighthood.</p>
              <audio controls src=""blob:https://charburnham.github.io/92eef0a3-f7f0-4cb7-8643-f1a6d8f57a19"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","20","4237605","0.0-11.0-2.0","2j7bwre4ol","","","","","","queued","41F","Four U.S. presidents have been awarded honorary knighthood.","false","sentence_review","","1","2j7bwre4ol_41F_audio.webm","accepted","2j7bwre4ol_41F_audio.webm"
"2013","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">A starfish can release approximately 2.5 million eggs at once.</p>
          </div>
        ","0","html-button-response","21","4239622","0.0-12.0-0.0","2j7bwre4ol","","","","","","","24T","A starfish can release approximately 2.5 million eggs at once.","true","sentence_ready","","","","",""
"7149","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">A starfish can release approximately 2.5 million eggs at once.</p>
          </div>
        ","null","html-audio-response","22","4246835","0.0-12.0-1.0","2j7bwre4ol","","","","","8","","24T","A starfish can release approximately 2.5 million eggs at once.","true","sentence_recording","blob:https://charburnham.github.io/67b4f03e-7d00-49b5-ac6b-f59fcf6ee193","1","2j7bwre4ol_24T_audio.webm","",""
"9148","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">A starfish can release approximately 2.5 million eggs at once.</p>
              <audio controls src=""blob:https://charburnham.github.io/67b4f03e-7d00-49b5-ac6b-f59fcf6ee193"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","23","4255984","0.0-12.0-2.0","2j7bwre4ol","","","","","","queued","24T","A starfish can release approximately 2.5 million eggs at once.","true","sentence_review","","1","2j7bwre4ol_24T_audio.webm","accepted","2j7bwre4ol_24T_audio.webm"
"2496","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Honduras currently has the highest murder rate of any country in the world.</p>
          </div>
        ","0","html-button-response","24","4258483","0.0-13.0-0.0","2j7bwre4ol","","","","","","","F18T","Honduras currently has the highest murder rate of any country in the world.","true","sentence_ready","","","","",""
"7650","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Honduras currently has the highest murder rate of any country in the world.</p>
          </div>
        ","null","html-audio-response","25","4266201","0.0-13.0-1.0","2j7bwre4ol","","","","","14","","F18T","Honduras currently has the highest murder rate of any country in the world.","true","sentence_recording","blob:https://charburnham.github.io/0bb4edd0-b064-495b-b6b3-c2c24606fa9f","1","2j7bwre4ol_F18T_audio.webm","",""
"18766","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Honduras currently has the highest murder rate of any country in the world.</p>
              <audio controls src=""blob:https://charburnham.github.io/0bb4edd0-b064-495b-b6b3-c2c24606fa9f"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","26","4284969","0.0-13.0-2.0","2j7bwre4ol","","","","","","queued","F18T","Honduras currently has the highest murder rate of any country in the world.","true","sentence_review","","1","2j7bwre4ol_F18T_audio.webm","accepted","2j7bwre4ol_F18T_audio.webm"
"1328","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The first VCR was made in 1969.</p>
          </div>
        ","0","html-button-response","27","4286299","0.0-14.0-0.0","2j7bwre4ol","","","","","","","F14T","The first VCR was made in 1969.","true","sentence_ready","","","","",""
"5867","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">The first VCR was made in 1969.</p>
          </div>
        ","null","html-audio-response","28","4292233","0.0-14.0-1.0","2j7bwre4ol","","","","","9","","F14T","The first VCR was made in 1969.","true","sentence_recording","blob:https://charburnham.github.io/deea4117-6c23-4351-be90-fb308c5135dc","1","2j7bwre4ol_F14T_audio.webm","",""
"6913","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">The first VCR was made in 1969.</p>
              <audio controls src=""blob:https://charburnham.github.io/deea4117-6c23-4351-be90-fb308c5135dc"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","29","4299148","0.0-14.0-2.0","2j7bwre4ol","","","","","","queued","F14T","The first VCR was made in 1969.","true","sentence_review","","1","2j7bwre4ol_F14T_audio.webm","accepted","2j7bwre4ol_F14T_audio.webm"
"3478","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Coca Cola would be green without the added food coloring.</p>
          </div>
        ","0","html-button-response","30","4302628","0.0-15.0-0.0","2j7bwre4ol","","","","","","","F17F","Coca Cola would be green without the added food coloring.","false","sentence_ready","","","","",""
"5286","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Coca Cola would be green without the added food coloring.</p>
          </div>
        ","null","html-audio-response","31","4307985","0.0-15.0-1.0","2j7bwre4ol","","","","","12","","F17F","Coca Cola would be green without the added food coloring.","false","sentence_recording","blob:https://charburnham.github.io/19f7ee2c-731d-4007-a34c-2f42d55d84a0","1","2j7bwre4ol_F17F_audio.webm","",""
"6807","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Coca Cola would be green without the added food coloring.</p>
              <audio controls src=""blob:https://charburnham.github.io/19f7ee2c-731d-4007-a34c-2f42d55d84a0"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","32","4314793","0.0-15.0-2.0","2j7bwre4ol","","","","","","queued","F17F","Coca Cola would be green without the added food coloring.","false","sentence_review","","1","2j7bwre4ol_F17F_audio.webm","accepted","2j7bwre4ol_F17F_audio.webm"
"1135","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">James Madison was the shortest U.S. president.</p>
          </div>
        ","0","html-button-response","33","4315930","0.0-16.0-0.0","2j7bwre4ol","","","","","","","40T","James Madison was the shortest U.S. president.","true","sentence_ready","","","","",""
"4918","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">James Madison was the shortest U.S. president.</p>
          </div>
        ","null","html-audio-response","34","4320916","0.0-16.0-1.0","2j7bwre4ol","","","","","11","","40T","James Madison was the shortest U.S. president.","true","sentence_recording","blob:https://charburnham.github.io/d6522c94-ecae-445f-aede-c4372b511517","1","2j7bwre4ol_40T_audio.webm","",""
"6814","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">James Madison was the shortest U.S. president.</p>
              <audio controls src=""blob:https://charburnham.github.io/d6522c94-ecae-445f-aede-c4372b511517"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","35","4327732","0.0-16.0-2.0","2j7bwre4ol","","","","","","queued","40T","James Madison was the shortest U.S. president.","true","sentence_review","","1","2j7bwre4ol_40T_audio.webm","accepted","2j7bwre4ol_40T_audio.webm"
"1400","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">An iceberg contains significantly more total heat energy than a burning match.</p>
          </div>
        ","0","html-button-response","36","4329134","0.0-17.0-0.0","2j7bwre4ol","","","","","","","1T","An iceberg contains significantly more total heat energy than a burning match.","true","sentence_ready","","","","",""
"7100","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">An iceberg contains significantly more total heat energy than a burning match.</p>
          </div>
        ","null","html-audio-response","37","4336300","0.0-17.0-1.0","2j7bwre4ol","","","","","1","","1T","An iceberg contains significantly more total heat energy than a burning match.","true","sentence_recording","blob:https://charburnham.github.io/071961ae-d395-4eac-99f9-b4186203bf46","1","2j7bwre4ol_1T_audio.webm","",""
