"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"1918","
    <div class=""consent"">
      <h2>Consent Form</h2>
      <p>If you agree to participate in this research, please click ""Continue"".</p>
    </div>
  ","0","html-button-response","0","1926","0.0-0.0","ftqpxk732r","","","","","","","","","","","","","","",""
"11070","
    <div class=""instructions"">
      <h2>Instructions</h2>
      <p>In this experiment, you will see a sentence on the screen.</p>
      <p>Your task is to record yourself reading that sentence aloud using your microphone.</p>
      <p>For each sentence, you'll click <strong>Start Recording</strong> when you're ready, rather than having the recording begin right away.</p>
      <p>After each recording, you can listen back and either continue to the next sentence or re-record.</p>
      <p>Click ""Next"" to continue to the microphone test.</p>
    </div>
  ","0","html-button-response","1","12996","0.0-1.0","ftqpxk732r","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","2","17372","0.0-2.0","ftqpxk732r","yes","","","","","","","","","","","","","",""
"2974","
    <div class=""content"">
      <h2>Microphone Setup</h2>
      <div class=""instruction-box"">
        <p>Before starting the experiment, we need to set up your microphone.</p>
        <p>On the next page:</p>
        <ul>
          <li>Your browser will ask for microphone permission - please click <strong>Allow</strong></li>
          <li>You'll see a dropdown menu with available microphones</li>
          <li>Select the microphone you want to use</li>
          <li>Click ""Use this microphone"" to continue</li>
        </ul>
      </div>
    </div>
  ","0","html-button-response","3","20346","0.0-3.0","ftqpxk732r","","","","","","","","","","","","","","",""
"","","","initialize-microphone","4","24638","0.0-4.0","ftqpxk732r","","dd548d52978268d71ad87449282ac3a611d633c7b80ec9eaa65d00c394812e9e","","","","","","","","","","","","",""
"7362","","","instructions","5","32000","0.0-5.0","ftqpxk732r","","","[{""page_index"":0,""viewing_time"":7362}]","","","","","","","","","","","",""
"2921","
        <div class=""content"">
          <div class=""recording-box"">
            <h3>Microphone Test</h3>
            <p>Take a moment to get ready.</p>
            <p>Click the button below when you want to begin the test recording.</p>
          </div>
        </div>
      ","0","html-button-response","6","34922","0.0-6.0","ftqpxk732r","","","","microphone_test_ready","","","","","","","","","","",""
"4373","
          <div class=""content"">
          <div class=""recording-box"">
          <h3>Recording in Progress...</h3>
          <p>Speak naturally, for example: <em>""Testing, 1, 2, 3.""</em></p>
      </div>
    ","ftqpxk732r_microphone_test_audio.webm","html-audio-response","7","45809","0.0-7.0","ftqpxk732r","","","","microphone_test","1","queued","","","","","","","","",""
"106744","
    <div class=""content"">
      <div class=""begin-box"">
        <h2>Let's Begin!</h2>
        <p>Now the microphone test is done and the main part begins.</p>
        <p>Each sentence will appear first, and you'll click <strong>Start Recording</strong> when you're ready to speak.</p>
        <p>After each sentence, you'll be able to listen to your recording and decide whether to keep it or record again.</p>
        <p>Click ""Continue"" to start recording the sentences.</p>
      </div>
    </div>
  ","0","html-button-response","8","152555","0.0-8.0","ftqpxk732r","","","","","","","","","","","","","","",""
"7104","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Cows give more milk when milked in complete silence.</p>
          </div>
        ","0","html-button-response","9","159659","0.0-9.0-0.0","ftqpxk732r","","","","","","","F7F","Cows give more milk when milked in complete silence.","false","sentence_ready","","","","",""
"5911","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Cows give more milk when milked in complete silence.</p>
          </div>
        ","null","html-audio-response","10","165624","0.0-9.0-1.0","ftqpxk732r","","","","","1","","F7F","Cows give more milk when milked in complete silence.","false","sentence_recording","blob:https://charburnham.github.io/3e52d107-ce03-49e5-9f65-21dd079b5128","1","ftqpxk732r_F7F_audio.webm","",""
"7658","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Cows give more milk when milked in complete silence.</p>
              <audio controls src=""blob:https://charburnham.github.io/3e52d107-ce03-49e5-9f65-21dd079b5128"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","11","173282","0.0-9.0-2.0","ftqpxk732r","","","","","","queued","F7F","Cows give more milk when milked in complete silence.","false","sentence_review","","1","ftqpxk732r_F7F_audio.webm","accepted","ftqpxk732r_F7F_audio.webm"
"3784","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The mouth of the Statue of Liberty is 3 feet wide.</p>
          </div>
        ","0","html-button-response","12","177067","0.0-10.0-0.0","ftqpxk732r","","","","","","","18T","The mouth of the Statue of Liberty is 3 feet wide.","true","sentence_ready","","","","",""
"5660","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">The mouth of the Statue of Liberty is 3 feet wide.</p>
          </div>
        ","null","html-audio-response","13","182784","0.0-10.0-1.0","ftqpxk732r","","","","","1","","18T","The mouth of the Statue of Liberty is 3 feet wide.","true","sentence_recording","blob:https://charburnham.github.io/3b0d0107-c9a8-4152-9b92-8472d7a98aa6","1","ftqpxk732r_18T_audio.webm","",""
"7298","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">The mouth of the Statue of Liberty is 3 feet wide.</p>
              <audio controls src=""blob:https://charburnham.github.io/3b0d0107-c9a8-4152-9b92-8472d7a98aa6"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","14","190083","0.0-10.0-2.0","ftqpxk732r","","","","","","queued","18T","The mouth of the Statue of Liberty is 3 feet wide.","true","sentence_review","","1","ftqpxk732r_18T_audio.webm","accepted","ftqpxk732r_18T_audio.webm"
"2334","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Three U.S. presidents have been awarded honorary knighthood.</p>
          </div>
        ","0","html-button-response","15","192418","0.0-11.0-0.0","ftqpxk732r","","","","","","","41T","Three U.S. presidents have been awarded honorary knighthood.","true","sentence_ready","","","","",""
"5855","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Three U.S. presidents have been awarded honorary knighthood.</p>
          </div>
        ","null","html-audio-response","16","198327","0.0-11.0-1.0","ftqpxk732r","","","","","1","","41T","Three U.S. presidents have been awarded honorary knighthood.","true","sentence_recording","blob:https://charburnham.github.io/35a61b47-1b60-4eee-a44d-50d2d27c12fa","1","ftqpxk732r_41T_audio.webm","",""
