"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"4979","
    <div class=""consent"">
      <h2>Consent Form</h2>
      <p>If you agree to participate in this research, please click ""Continue"".</p>
    </div>
  ","0","html-button-response","0","4998","0.0-0.0","6bqg3s4g4q","","","","","","","","","","","","","","",""
"7335","
    <div class=""instructions"">
      <h2>Instructions</h2>
      <p>In this experiment, you will see a sentence on the screen.</p>
      <p>Your task is to record yourself reading that sentence aloud using your microphone.</p>
      <p>For each sentence, you'll click <strong>Start Recording</strong> when you're ready, rather than having the recording begin right away.</p>
      <p>After each recording, you can listen back and either continue to the next sentence or re-record.</p>
      <p>Click ""Next"" to continue to the microphone test.</p>
    </div>
  ","0","html-button-response","1","12335","0.0-1.0","6bqg3s4g4q","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","2","17279","0.0-2.0","6bqg3s4g4q","yes","","","","","","","","","","","","","",""
"2874","
    <div class=""content"">
      <h2>Microphone Setup</h2>
      <div class=""instruction-box"">
        <p>Before starting the experiment, we need to set up your microphone.</p>
        <p>On the next page:</p>
        <ul>
          <li>Your browser will ask for microphone permission - please click <strong>Allow</strong></li>
          <li>You'll see a dropdown menu with available microphones</li>
          <li>Select the microphone you want to use</li>
          <li>Click ""Use this microphone"" to continue</li>
        </ul>
      </div>
    </div>
  ","0","html-button-response","3","20155","0.0-3.0","6bqg3s4g4q","","","","","","","","","","","","","","",""
"","","","initialize-microphone","4","26113","0.0-4.0","6bqg3s4g4q","","e67f14c35c93dd4dfd7018f6531e88904321fb40a042dfe461cbf5eb91f4f916","","","","","","","","","","","","",""
"3085","","","instructions","5","29199","0.0-5.0","6bqg3s4g4q","","","[{""page_index"":0,""viewing_time"":3085}]","","","","","","","","","","","",""
"3868","
        <div class=""content"">
          <div class=""recording-box"">
            <h3>Microphone Test</h3>
            <p>Take a moment to get ready.</p>
            <p>Click the button below when you want to begin the test recording.</p>
          </div>
        </div>
      ","0","html-button-response","6","33070","0.0-6.0","6bqg3s4g4q","","","","microphone_test_ready","","","","","","","","","","",""
"3231","
          <div class=""content"">
          <div class=""recording-box"">
          <h3>Recording in Progress...</h3>
          <p>Speak naturally, for example: <em>""Testing, 1, 2, 3.""</em></p>
      </div>
    ","6bqg3s4g4q_microphone_test_audio.webm","html-audio-response","7","63053","0.0-7.0","6bqg3s4g4q","","","","microphone_test","11","queued","","","","","","","","",""
"2654","
    <div class=""content"">
      <div class=""begin-box"">
        <h2>Let's Begin!</h2>
        <p>Now the microphone test is done and the main part begins.</p>
        <p>Each sentence will appear first, and you'll click <strong>Start Recording</strong> when you're ready to speak.</p>
        <p>After each sentence, you'll be able to listen to your recording and decide whether to keep it or record again.</p>
        <p>Click ""Continue"" to start recording the sentences.</p>
      </div>
    </div>
  ","0","html-button-response","8","65712","0.0-8.0","6bqg3s4g4q","","","","","","","","","","","","","","",""
"47507","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">Texas is the only state that permits residents to cast absentee ballots from space.</p>
          </div>
        ","0","html-button-response","9","113221","0.0-9.0-0.0","6bqg3s4g4q","","","","","","","14T","Texas is the only state that permits residents to cast absentee ballots from space.","true","sentence_ready","","","","",""
"9153","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">Texas is the only state that permits residents to cast absentee ballots from space.</p>
          </div>
        ","null","html-audio-response","10","122458","0.0-9.0-1.0","6bqg3s4g4q","","","","","3","","14T","Texas is the only state that permits residents to cast absentee ballots from space.","true","sentence_recording","blob:https://charburnham.github.io/16b1aadc-7863-4a86-9e86-62f387783587","1","6bqg3s4g4q_14T_audio.webm","",""
"10602","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">Texas is the only state that permits residents to cast absentee ballots from space.</p>
              <audio controls src=""blob:https://charburnham.github.io/16b1aadc-7863-4a86-9e86-62f387783587"" class=""playback-audio""></audio>
            </div>
          ","1","html-button-response","11","133062","0.0-9.0-2.0","6bqg3s4g4q","","","","","","queued","14T","Texas is the only state that permits residents to cast absentee ballots from space.","true","sentence_review","","1","6bqg3s4g4q_14T_audio.webm","accepted","6bqg3s4g4q_14T_audio.webm"
"37388","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The speed limit in New York City was nine mph in 1895.</p>
          </div>
        ","0","html-button-response","12","170456","0.0-10.0-0.0","6bqg3s4g4q","","","","","","","15T","The speed limit in New York City was nine mph in 1895.","true","sentence_ready","","","","",""
"7531","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">The speed limit in New York City was nine mph in 1895.</p>
          </div>
        ","null","html-audio-response","13","178065","0.0-10.0-1.0","6bqg3s4g4q","","","","","1","","15T","The speed limit in New York City was nine mph in 1895.","true","sentence_recording","blob:https://charburnham.github.io/c24cc124-8914-4048-867b-4ae6c52a5aba","1","6bqg3s4g4q_15T_audio.webm","",""
"1730","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">The speed limit in New York City was nine mph in 1895.</p>
              <audio controls src=""blob:https://charburnham.github.io/c24cc124-8914-4048-867b-4ae6c52a5aba"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","14","179798","0.0-10.0-2.0","6bqg3s4g4q","","","","","","not_uploaded_rerecorded","15T","The speed limit in New York City was nine mph in 1895.","true","sentence_review","","1","6bqg3s4g4q_15T_audio.webm","rerecord","null"
"1715","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">The speed limit in New York City was nine mph in 1895.</p>
          </div>
        ","0","html-button-response","15","181514","0.0-10.1-0.1","6bqg3s4g4q","","","","","","","15T","The speed limit in New York City was nine mph in 1895.","true","sentence_ready","","","","",""
"5744","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">The speed limit in New York City was nine mph in 1895.</p>
          </div>
        ","null","html-audio-response","16","187334","0.0-10.1-1.1","6bqg3s4g4q","","","","","3","","15T","The speed limit in New York City was nine mph in 1895.","true","sentence_recording","blob:https://charburnham.github.io/f38270a7-6833-4fca-bb3a-81d468e23a54","2","6bqg3s4g4q_15T_audio.webm","",""
"2865","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">The speed limit in New York City was nine mph in 1895.</p>
              <audio controls src=""blob:https://charburnham.github.io/f38270a7-6833-4fca-bb3a-81d468e23a54"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","17","190201","0.0-10.1-2.1","6bqg3s4g4q","","","","","","not_uploaded_rerecorded","15T","The speed limit in New York City was nine mph in 1895.","true","sentence_review","","2","6bqg3s4g4q_15T_audio.webm","rerecord","null"
